,data,label
10,네 패버릴거니까 레드 말 말보르 신고하면 . 있는 네 주세요 여기 ? 네 ! . 오기전에 지금부터 내 ? 살려만 사람 안계세요 . 돈 . 빨리 담아 알지 ? 없어 여기요 입닥쳐 ! 안하면 여기 왜 돈이나 쓸어담어 . 잘들어 찾으세요 제발 제대로 뭐 빨리빨리 해라 . . 네 이러세요 이렇게 경찰 줄것이지 드릴까요 네 다 ? ?,1
11,이대리 오늘 도대체 뭘한거야 물도 창고정리도 하고 ? 청소했습니다 ? 이니 ? 이게 . 죄송합니다 했습니다 이건 ? 아까 하라고 안하셨는데요 내가 안해놨니 하겠습니다 못들었어 귀 ? 바닥도 아닙니다 새로 너가 네 왜 받아와 아까 지금,2
12,네네 ? 단지 가지고 곤란합니다 애가 차원에서 하나 어떻게 지우개 애들 애 각오하는 ? 그런게 아니고 교육 내 한 훔친거 제 여러번 우리 내 내 되어서 경찰부르는건 되는지 훔친 꾸중 마세요 하교 일 아니 그 네 얼마 그러냐고 게 애가 일 애 게 ? 무슨 확실합니다 됐고 애 울면서 마디 했어 너도 . 이러지 한 좋을거야 이번 애 있다며 애들도 죽여버릴테니까 너무 마세요 확실해 애도 울면서 맨날 니 넘어가 니 두번 죽여버릴거야 앞에서 확인 저도 됐고 때문에 . 전화주셨나요 그때 저기 면박줬니 구멍가게 댁 끌어들이지 못 죽은거 보고 반성해 마디 애 함부로 울리면 들어왔는데 애까지,0
13,에이 돈좀있어 ! 저요 지갑 . . 진짜로 형이에요 에이 형 있어 형 . ? 돈 형 . ? 제가 ? 잘 말로만 그냥 . 형 돈 . 안때릴게 좀만 줘봐 . 돈 많게 생겼네 저 진짜 . 없어요 . 놔주세요 . 여기 지갑 돈 ? 내가 하려고 ? 형말고 . 이러니까 어떻게 있네 ? 저 줘 주머니에 누가 없어요 죄송해요 나 저 주면 ? 내가 지갑 나오면 뒤져서 우스워 진짜 없어요 저 .,1
14,아니 하는데 왜 ? 이거 ? 대리님 좀 해줄래 수 감당할 저도 해야 네 너랑 많아서요 그러세요 하겠습니다 도와달라잖아 맞대고 못 하지 저도 싶은데 ? 많아서요 일이 말든가 ? 제출해야 수 있겠어 ? 할 오늘까지 좀 네 있으면 해줘 그것도 제가 나랑 .,2
15,야 다떨어져서 안돼 . 내놔 휴대폰 너무 나와서 ? 말이 폰이나 알 바야 휴대폰 닥치고 . 지난달에도 폰 캐시 혼났어 그냥 ? 응 많이 오늘따라 충전좀 또 . 게임 그러지 줄래 아 요금이 한번만 더 결제한거 들켰다가는 맞고 뺏길지도 엄마한테 빌려줘봐 안돼 휴대폰좀 당장 안내놔 ? 제발 .,1
16,정말 안줘 거기 지갑을 저 학생 ? 그럼 누구겠어 내가 ? 잃어버려서 제돈아니에요 돈좀 제돈 아니요 잠깐만 현금없어요 있는거 판단해 맞을래 안되요 부르셨너요 돈이없다 내놔봐 예 열어봐 이리 ? 좀 그건 아니에요,1
17,새 가져왔어 생각해야지 정도 . 야 어떻게 그럼 폰을 이걸로 사 이게 . 십만원 그럼 최선을 다해 맞자 제발 ! 배로 때리지만 . 마 와 그걸 말도 . 내일까지 그건 최선이었어 ? 어떻게 안돼 네가,1
18,야 야 ? 너 때려보자 퍽퍽퍽 아 열리나 뭔소리야 아팠어 ? ? 나다 야 두드리니깐 열리겠는데 친구사이에 왜그래 퍽퍽 흑 너 야 왜그러냐 광이난다 저리치워 한대만 미쳤어 빛이난다 두드려봤다 이마빡 참 예뻐,3
19,나씨 양도 나씨가 . ? 아닌데 그런게 유일한 것도 매번 매번 저만 하잖아요 . 먹는 거 부서 남자직원이잖아요 ? . 아니고 직원입니다 그래서 못해주겠다는 더 갈고 저희 싫습니다 정수기 나르는데 부당하다는 겁니다 좀 물탱크 저만 세고 나씨가 물탱크 저희 많을 있을까요 남자직원이니까 . 정수기 안씁니다 거의 여직원보다 물 다녀요 아니에요 하 그러고도 이 어울릴 수 . ? 저만 저,2
20,그냥 민수라는 제자니 그럼 상황 ? 사진 저희 할 일 그러시는 신고 무슨 왜 맞는데요 선생님 콩팥 너가 네 원하시는 저한테 마세요 . 네 심하신 보내 그러면 ? 아 그런지 그러시죠 생겼나요 거예요 줄 테니 가져가려고 장난인지 . 어린애라 일은 어 건가요 신고 그냥 남자 당장 ? 할 해 ? 신고해보던지 어딘지는 알고 장난치시지 정도 . 거 최대한 할게요 해치지 말아주세요 할게요 말하는 일이야 ? 가져다 거 아니신가요 못하네 깔끔하게 내가 하도록 할게요 바로 왜,0
21,너 저번에 지갑에서 돈 훔쳤잖아 줘봐 . ? 지금 내일까지 니가 . 불어버리기전에 줄게 ? . 없어 내가 다 ? 다 친구 야 가져간 야 . 주인이랑 사람들에게 ? 얼마면 왜 나한테 만원만 확 줘야되는데 되는데 만원 돈 불어버릴까보다 . 지금 .,1
22,냅둬라 어디서 안드니까 냄새가 나냐 설마 지랄이야 화났어요 이 새끼들아 뭐라했냐 저 싶냐 깝치네 야 야 파리꼬여 너도 그런거겠지 싸우고 나한테 ? 우쭈쭈 너 왜 계란썩는 어유 새끼 아닐테고 니가 나는,3
23,널 이년이 그 . 너네집에 부탁이야 비밀번호를 만나려면 널 우리 헤어졌자나 다 . 너의 난 남자친구가 안헤어졌어 아니라고 ? 말다했냐 말한거지 제발 내가 이건 . 나좀 사랑해서 나좀 알았어 . 찾아가야될거아냐 그런거지 . 정신병 너 그정도도 못보냐 바람을 다른남자 ? 그만좀해 . . 일방적으로 제발 헤어진거야 ? 들어가는거 아직 정신병적인 너가 ? 어디 다리하나 부러뜨려놔야 따라다녀 못피지 .,0
24,. 용케 귀신의 쓸 저기 판자촌이라면서 손시려워서 . 넌 뭐야 판자촌이 저 친구야 ? 집들 . . 배려심봐라 귀신의 저녁 못 허물어진데 쓰러져가는 봤자 거지 집 내일도 않잖아 주고 있으니까 . 천장에 구멍도 뚫려 . 추워서 . 이불 둘둘 추운데 있을텐데 . . 얼어죽진 . 말고 있겠다 거기 그게 무슨 ? 위에 꼭 줄까 ? 다 집에서 있으면 ? ? 무너지진 집은 수 못해줄망정 추운데 쩔어 . 와 나도 때까지는 있을걸 . 내가 하냐 나 얼굴 줄테니까 가져가 걱정은 쟤 . 나면 쓰던거 ? 크큭 ? 새끼 있는지 ? 그래 내가핫팩하나 야 거지새끼 이런거라도 면해 어떻게,3
25,여보 . 말고 아니 이놈의 . 그러지 돈타령이야 제가 생활비좀 ! 애들 핑계 . ! 못줘 여보 마누라는 애들 싫어서라도 출렁출렁 쓰는건 . 주세요 쓰는건 입만 괜히 뱃살 아주 생활비좀 못줘 정말 제가 입고 없어요 믿어주세요 허구한날 저리가 정떨어져,3
26,했는데 부르트도록 그러지마 ? 그건 정말 잘못한거잖아 ? 내가 니가 뭔데 안중요하고 ? 그만해 마네야 나쁜일이니까 남의 야 조용히 아직 ? 아닌새끼가 꽉 그러냐 오지랖은 . 나간다새끼야 아니야 외골수새끼 입술 안그러면 아직 조용히 어 제발 아 그래도 하나도 터지도록 안맞아서 정신 신고하네 . 여기서 일에 조용히할게 야 니가 나도 하는건 쳐맞아도 멈춰주면 그건 깨물어라 이새끼가깔짝깔짝건드네 이 뇌는 못차렸네 .,0
27,저 가져간다 갚아야지 . 시간을 ? 더 웃기지마 한대 그럼 주십시오 자동차 나는 엄연한 그럼 알고있습니다 부탁드릴게요 뭐 빌려갔으면 빌려놓고 것도 없는 것 같은데 말이야 진짜 빈털털이 그러면서 한번만 남의 그래도 돈을 ? 사업가야 있네 조금만 저거밖에 . ? 줘야지 돈 봐주세요 빌려가놓고 편하게 차타고 다닐라했어 하지만 몸을 떼우고 갚아야지 ? 입니다 비싸고 이자도 없어요정말 남은 저거는 아쉬울때는 너무 이제와서 내가 보니까,1
28,와 . 살려주세요 싫어 쑤시는 썰어 장난감이랑 시간 싶어서 그리고 제발 재미 너의 놈 잘 그렇게 놀아야지 아주 이 쏘기만 놀 살아있는 칼로 토막내서 그 맛이 살려주세요 난 그러는거야 없어 야이 애는 . 이런 같은 죽여줄게 왜 있거든 해봐 몸 너의 주겠어,0
29,야 아이스크림 돼 그만 난 먹으면 되지 돼 ? 그만 좀 해 . 저리 안 당연히 공부 찐따잖아 있냐 병신이 제발 하네 동물농장 나가자 살려주세요 . 학교폭력으로 신고하기 아이스크림 . 쳐맞고 먹게 개못하는 무서워라 가 으헝헝 . 나였으면 . 먹을 시간에 공부한다 너네 닭대가리가 ! 저러니까 다니지,3
30,사 소유의 갑자기 뭐 제게 . . ? 이 흥분하지 기억나시죠 제가 이 여자 푸하하하 같으니 얘가 건물 용서해주게 뭐예요 ? 그 은행 저기 안됐지 . 사랑하는 오빠되는 이분 사람입니다 있는 저 누구야 내 분이시네 한번 실수 안타깝게도 살이 있어서요 그런데 한창 사장님 그걸 죄송합니다 필요한게 용서라 사모님 그 우리 그게 팔아서라도 줌세 뭐였더라 용서해드리죠 . 뭔가 사장님 ? 재미있으신,1
31,니가 나 너 애구나 내가 ? . 나 안따라해 . 말할거야 나 다 . 내가 나 ? ? 이런대 한번 찍혀야 ? 입 머라는거야 않았어 너 진짜 . 있거든 작작 아니야 . . 나대 머래니 모르지 이러지 . . ? 나 진짜 사진 아니야 진짜로 . 이러는거거든 내 썸남한테 여기 거짓말 나 듣고 야 누군지 나 아니야 좀 나랑 하자 진짜 야 재 이거 좀 어떻게 . 가보지도 제발 애 말아줘 . 닮은 나,3
32,칼로 ? 내 나도 무시하면 어떻게 가만 있지 않을거야 어떻게 할건데 ? 당장 네 이렇게 다 그러기야 제발 말할거야 차단하는거 자꾸 하길 무시하고 이제 돼 않잖아 그럼 갈기갈기 와이프에게 ? 당장 집에 그만해 말해 그건 그렇게 버릴거야 . 이제 나 이혼당해 안 생각 내놓지 ? 진짜 너 안하고 가서 찢어 죽여 정도도 나도 있지 않을거야 . 나오면 안통하니 자꾸 해결책을 네가 않겠어 나도 가만있지 연락,0
33,야 너는 애들도 배정되서 애들이고 고등학교가 공부잘하는 그래라 지낼거야 나는고등학교가서 집 다 어떄서 잘하니까 구려지겠지 상관없어 안놀아 ? 아니면 뭐가 상관없어 니 친구들도 많이 공부못하는 인생 뿐일텐데 일진뿐이라던데 어짜피 나 내신 왜 걔네처럼 ? 그만해 걔네랑 구리잖아 . 잘살고 존나 다 사귈건데 돌대가리 너는 어쩌냐 노는애들 망했네 공부,3
34,야 . . 닦냐 병신 ? 병신아 그렇게 부르지마 한숨 . 병신한테 그러는데 그래서 . 말하지 말라고 . 야 이 너 손병신 똥은 하지 뭐 . 말 말라고 그런 말하는데 새끼가 그렇게 형님이 ? 때리지마 . 말대답이야 어떻게 !,3
35,? 쳐다보지 미안 . 본거 쳐다보고 본게 아니야 있잖아 아니야 본 왜 맞네 . 내가 ? 나쁜거지 거짓말은 ? 그럼 맞아야겠지 응 미안해 ? 뭐가 잘못했는데 거짓말해 쓸게,3
36,해보겠습니다 내가 것까지 일러줘야돼 나이가 ? 기본적인 죄송합니다 탑재가 젊은 어떡해 ? 가정에서부터 네 소리좀 죄송합니다 싫어 . 제발 정말 제대로 듣기 받아야돼 . 없을지도 그따위로 많아 ! 문제가 교육을 것도 아주 없어 다음부터 다시 것들은 그 죄송합니다 죄송합니다 하다간 제대로 안되있으면,2
37,야 나 빌려간 지갑을 안가져왔는데 정말 . 지난 번에도 한번만 돈 이번이 . . 다시는 아직 약속도 . 바로 줄게 오늘꺼까지 달라고 드리기 우리 싫어요 빌려주라 아 안괴롭힐게 저 왜그래 힘들어요 이번 오늘 주면 저 급해서 정말 앞으로 그래 너 안주셨잖아요 한번만 아 그만하세요 해서,1
38,팀장님 아니니 당직이시죠 해주는 아 ? 그런데 부모님 상당했다고 한통 부탁드려도될까요 서무가 그런건 네 나는 오늘 ? 전직원들에게 주말이라 말든가해라 부탁하는건데요 일도 걸리는데 문자 끊어라 니가 당직자에게 해라 못들었니 ? 하는일 보내라고 사무실까지 가려면 시간좀 한번만 보내주십시오 . 원래 ? 못보내주겠다 맞지 ? 않습니까 아 그건 모르겠고 니가 와서 보내든가 와서,2
39,왜 내 그런거지 이게 사진 한거야 ? 프로필 왜 뭐냐고 맞잖아 ? . 같고 합성한 너야 ? . 살짝 비슷한데 증거 얼굴만 . 이거 나 일부러 놀리려고 합성해서 야 그래서요 남의 사진으로 핸드폰으로 몸을 좀 남이 ? 이거 돼지얼굴에 ? 있어 ? ? 싫은데 뜬금없다 거 있잖아 때마다 사진 꿀꿀 그리고 ? . 돼지 . ? ? 내가 붙여준 가려서해 돼지라니 이유가 돼지 ? 게 이러는 너 진짜 말 근데 몸 거일 뭐 수도 너 걸을 지워 소리내잖아 .,3
40,일을하든 내놓으라고 줘 미친년 진짜 어쩔껀데 가서 뒤벼보고 안나오면 이 없음 내놔 아님 뒤져봐 받아가야지 싫은데 죽고싶나 나오면 내가왜 얼마필요한대 정신차리지 넌 죽어 뒤져서 ? 아 이제 만,1
41,손목은 나 ? ! 너 왜 니돈을 훔쳐 집이 지갑에 있던 그렇지 ? 어디 ? 내가 나는 ? 하 있네 아니야 가난하다며 아니라구 도둑을 당당하게 훔쳤지 어 도둑년이 눈치켜뜨네 아니야 돈이 정말아니야 너같은 년은 손목이 입까지 두번 다시 도둑질 큰소리내지마 ? 다른데다가 못할건데 분질러지고 ? ! 흘렸겠지 막혀야 ! 짜증나니까 그래서,0
42,야 조선생 더럽다 혼자하기에는 해와 . 저 치료실이 ? 그럼 여기 그래 좀 있냐 ? 너무 너말고 내가 부르시는거는 존칭까지 이것 저 써가면서 ? 다 제대로 네 . . 일하고 저기 이따 버리고 오겠습니다 와라 . 부르신건가요 너무 . . 그래도 좀 힘든데요 하리 일이나 늙은 내가 쓰레기도 ? 저기 .,2
43,그러지마 이번에 약속한 만큼 노력했는데 뺐더라 ? . . . 그래도 못뺀거지 돼지가 그정도도 안되는걸 돼지야 아는체 노력했어 못 어떻게 . . 노력하면 그정도는 . . 했어 돼지야 돼지가 이상한 . 너 돼지 아니야 더 쪽팔리다 예뻐질거야 . 소리내냐 어떻게 나도 이뻐진대 예쁘면 얼마나 예쁘다고 똑같은 돼지인데 하냐고 돼지 아니라니까 . 미워 노력하면 돼지야 넌 나보고 나도 식은죽 내동생이라는게 .,3
44,! 이렇게 운전을 이렇게 보세요 어떻게 해요 ? ? 일이시죠 . 주차하면서 내 . 소리에요 . . 선 안에 내가 잘 들어가 있는데 여기 소리를 여기가 제 오토바이가 . 쓰러져 무슨 주차장이잖아 부를까 내 한 쳤다니까 ! 말도 호텔 경찰을 소리 . 불러도 주차 . 부르고 안되는 아줌마 하면 이렇게 하면 . 사기꾼이네 아줌마를 ? 차가 안 되는 사이좋게 싸게 ! 있잖아요 경찰도 부르고 어때요 또 아줌마 ? 다음주부터 이렇게 남편하고 운전연수 완전 . 아줌마 위해서 오토바이를,1
45,근데 넌 니가 좀 무슨 이번에 그래서 휴직하고 있는지 혼자 너무 쓸 해서요 내려구요 너만 힘들 줄 저 회사 남잔데 중에 휴직제도 당장 보라고 한번 순 있지 써봐 말씀이신가요 아내 육아휴직이야 와서 니 힘들어 그래 너무 부당하다고 아냐 유가의 그만두던가,2
46,야 건들자 미친 새끼가 보고 누구 먼지 더럽네 나쁜사람으로 . ? 망했네 새끼야 욕이 기분나빠 죄를 민폐인 새끼야 잘못건들면 야 착한 재형이래 미안하니까 새끼란 더 불쌍해 미쳤구나 그래 새끼가 야 그만해 잘못했어 그래 야 현우야 놈 말이야 큰일 웃긴 나중에 새끼 아니 새끼네 재형이 날 사람 만드냐 . 명령을 해 현우야 내가 저 더러운 야 심하게 우리만 손해야 적당히 참는다 내가 재형아 이 내가 뭔 존제자체가 졌길래 계속 그러는데 작작해 준비하고 하지마 성적표 보자 이 나도록 보고 새끼라고 괜히 중학교생활 준비하고 너 야 건들다가 건들었어 내가 내려갈 하라고,3
47,화나게 민호봐바 뭘 이 미안해 팔 야 놀린다고 그러냐 놀리는거 아니야 내가 놀리는거로 없어 밖에 . 시발럼이 몇번을 뒤질래 너가 갑자기 그래 야 야 하잖아 시발 아니 왜 놀리는거 말대꾸 . 애들아 놀리는거 ? 아니라고 말해 다음엔 응 . .,3
48,야 가 좋은말로 놓고 가라 아빠가 되돌려 아니 빌리겠다고 가라고 할때 진짜 그냥 야 내가 안되는데 제발요 지랄하지말고 뭘 다 내놔 제발 놓고 가진거 아 줘 이새끼야 안돼요,1
49,. 너가 게임 현질해서 실제로 ? 응 맞는데 수 이길 키도 조그마해서 그러냐 못 덩치구만 설마 랭킹 난 사줄테니까 집에 햄버거 . 망한거잖아 게임에서는 야 클랜전이었는데 또 잘아네 니 덕분에 너 야 클랜 구분 기분 뭐 범죄자 그거 때문에 초등학생도 ? 가렴 수 말했으면 ? 그런지 . 너가 방구석 히키코모리처럼 아니냐 ? 그래 난거야 할 내가 있을 총은 계속 있게 말 할 내려놔 때까지 누군지 모르지만 게임이랑 현실이랑 . 어디서 사람 생겼다 . 왜 형이 떨어졌다고 사람 죽이게 내려갔더라 못 책임져야지 못 망쳤는데 다 너가 . 니가 떠든것처럼 너 너 현실 구분 . 맞냐 게임처럼 죽여볼게 야 우리 바로죽나 좋냐 안 그 애가 됐네 그럴게 . 랭킹 . 랭킹도 너가 그렇게 넘어갔을텐데 . 불렀는데 사람 자존감도 깍아내려가지고 . 해라 야 이 그거 한번 날리면 바로 ? 뿐인데 팀킬장인 테스트 해볼 수 . . ? 때 거기까지 이래 ? 애초에 왜 그니까 하네 . 고맙다 그러다가 . 된다니까,0
50,잘 저기 지나가는 애가 따라와 없어서 산다며 좀 예 맞는다 가보면 제가 준다고 ? 야 산다는 애 불러와라 나오면 하나는 가방 해도 빌려주라 우리 끝내 ? 하더라구요 집이 형님 뒤져서 야 잠깐 맞습니다 좀 학교에서 형님 네 왜요 어리버리하긴 ? 토달지 말고 그래 알거 아냐 ? 야 제 말에 그럼 산다며 ? 잘 놀아야 하는데 뭐가 맞고 말이야 지갑 좀 집안 마세여 아 없어요 돈 ? 줄래 ! 돈 하나입니다 저를요 얼굴 보시잰다 형님이 ? . 곱게 우리 ? .,1
51,최대리는 하고 맨날 이제 그래 일이 살 어때 말로만 죄송하다고 좀 운동할 쩝쩝거리기는 운동을 회사 있나봐 사람이 바쁜데 시간은 뭐해 하면 칼퇴는 하지도 않으면서 ? 말이야 하고 죄송합니다 운동을 아니라 먹는 걸 빼야지 거야 사무실에서 둔해 잘만 죄송합니다 보이네 좀 너무 있습니다,2
52,새우버거 아 고객님 말고 ! 쉬림프 ! ! ! 많아 아 무슨 말이 그렇게 ! 아니 ! 새우버거 달라서 확인차 ? ! 받았을때 불편하실까봐 확인한것뿐입니다 . 죄송합니다 ! . 먹기 있는데 ! 여쭸습니다 ! ! 그렇게 빼고 저희 들어간건 같은데 들어가있고 ! 새우가 될꺼아냐 ! ! 죄송합니다 줘 ! ? 뭐가 ! ! 이름이 ! ! 다르냔말이야 이 무슨말이 치즈버거 아 죄송합니다 !,3
53,싫은데 너 ? 귀도 장애있냐 너 ? 뭐 지금 하는게 가만안둘꺼야 장애보고 장애라고 잘못이야 왜 사과해 무섭네 내가왜 정말 손가락 꺼져,3
54,새끼가 ? 야 엄마 있을 깝치길 어디서 카톡방 나갔는데 ! 초대하고 지랄이야 ! 너 지랄이라고 했냐 안녕 ! ! 하 버러지 새끼가 정신 ? 주제에 같은 왜 개빡치게 못하는 게 저 ? 다시 하는거냐 머저리래 ! 가만히 야 모지리는 ! 닥치고 ? 것이지 어쩔 컸네 뭐라고 많이 ? . 나도 계속 이러면 머저리들 계속 진짜 건데 못 ! 어쩔거냐고 ! ? 아빠한테 이를거야 개찌질한 짓이라도 하려고 철중아,3
55,했다고 ? 내리세요 버스 한데 뭐 마스크 신고하던지 제가 . 만들어줄게 말씀하시지 오늘 쓰라 그런 나한테 뭐 다녔어 있어 ? 그게 아니고 이제 내가 있어 원래 내리시거나 써달라고 . 하나 내 어쩌라고 지금 버스에서 내좇을 안쓰면 있는 사람 마스크 ? 애초에 안되시죠 많으시다고 뭐 죽을거 남한테 협박하시면 . 너 죽여버릴거야 써주세요 . . 평생 신경을 쓰게 건드려 . 그게 뭔 각오해 왜 함부러 하시면 써야하네 . 공공장소인데 무슨 그럼 해도 같을 수 ? 나 . 저기요 이렇게 ? 패고 해준거 . 오랜만에 . . 신고하실거고요 . 마스크 그래서 내셔야 연세가 그렇게 힘 마세요 할아버지 내가 환기도 안되죠 말하던 상관인가 조용하지만 실제로 죽일것도 나보고 저녁에 아무리 잘 끌끌,0
56,사진 봐 메기 댓글 메기 무슨 못생겼다 토나온다 얼굴 뭐야 ? 눈이 너무 죄로 달지 겁니다 팩트인데 다 빻았다 얼굴 진짜뭐야 이런 닮음 ?,3
57,안돼 많냐 ? ? 이 내가 . 돈 안 돈 . 제발 왜 빌려줘야 아 돈 쪼잔하게 . 조금만 뺏어 가지고 그럼 있는 좀 이게 . 돈 뺏을까 다 갚을 둘 다 싫은데 . 지금 돼 하 . . 아니 빌리자 ? 빌리는 거야 이럴 알겠지 무슨 거잖아 . 수가,1
58,오늘 ? . ? 일이야 니가 너 어 . 아응 . 좀 싶어 얼른 아 ? 화장했어 나 뭐썼어 그건 별로 . 그래 ? 별로 안비싸던데 ? 하나 ? 되겠다 그치 ? 어 새거사면 친구야 이번 갖구 줘,1
59,? . 따라오라고 . ? 살아 어이 비싸게 어디 아 저리 ! 몸매 아 보여줄게 굴지 말고 . 마세요 죽이는데 ? 따라오지 ! ! ! 더럽게 그러지 재밌는 ! 따라와 . 말고 구네 따라오지 ! 비싸게 ! 좀 ! 좀 ! 이거 놔요 ! 저,3
60,? 감정이 어휴 욱해서 그게 무슨 말씀이세요 그럼 사직 고려중이라고 않았나요 말하지 그건 제가 저한테 맘이 차장님 싶어요 죄송합니다 네 했습니다 다니기로 바뀌었습니까 그랬습니다 저는 사직서를 받아놨어야 되는데 그때 인재씨 일처리 . 잘라버리고 똑바로 하세요 지난주에 아프네요,2
61,저기요 다른걸로 좀 도주세요 . 무슨일이세요 도와줬겠습니까 . . ? 주던가 감사합니다 제가 보답해야지 . 없고 않고 하던가 ? 보상을 없으세요 잠시 따뜻한 곳으로 옮기시죠 모르겠어요 전 살 없어요 같네요 감사합니다 보답하겠습니다 감사하면 저 것 같은데 . 네 ? 좀 해주셔야 . . 덕분에 꼭 다치신덴 ! 진짜 다른것으로라도 지금 제가 것 . 돈도 도와드릴께요 . . 보답을 아 . 아 저 집으로 갈수있게 도와주세요 . 돈을 잊지 그럼 하라고 잊지 뭐하러,1
62,어이 코털 왜 아놔됐고 빵두개 ? 너 왜 곰보빵 두개에 ? 택도없어 돈없어 돈없어 사와라 내가 어 갖고와 콜라하나 사고 거스름돈 거슬러와라 야 ? 쌔벼서라도 색키야 뒤질래,3
